keys,en,ru,uz,fr,es,it
startYourAdventure,Start your adventure along the Silk Road — discover the wonders of Uzbekistan!,Начните свое приключение по Шелковому пути — откройте для себя чудеса Узбекистана!,Ipak yo‘li bo‘ylab sarguzashtingizni boshlang — O‘zbekiston mo‘jizalarini kashf eting!,Démarrez votre aventure sur la Route de la Soie et découvrez les merveilles de l'Ouzbékistan !,¡Comienza tu aventura por la Ruta de la Seda y descubre las maravillas de Uzbekistán!,Inizia la tua avventura lungo la Via della Seta: scopri le meraviglie dell'Uzbekistan!
or,or,или,yoki,ou,o,o
forgotPassword,Forgot Password?,Забыли пароль?,Parolni unutdingizmi?,Mot de passe oublié ?,¿Olvidaste tu contraseña?,Password dimenticata?
dontHaveAccount,Don`t have account?,Нет учетной записи?,Hisobingiz yo'qmi?,Vous n'avez pas de compte ?,¿No tienes cuenta?,Non hai un account?
signUp,Sign Up,Зарегистрироваться,Ro'yxatdan o'tish,S'inscrire,Regístrate,Registrati
createYourAccount,Create your account,Создайте свой аккаунт,Hisob qaydnomangizni yarating,Créer votre compte,Crea tu cuenta,Crea il tuo account
email,Email,Электронная почта,Elektron pochta,E-mail,Correo electrónico,Email
cantBeEmpty,Can`t be empty,Не может быть пустым,Bo'sh bo'lishi mumkin emas,Ce champ est obligatoire,No puede dejar el campo vacío,Non può essere vuoto
enterYourEmail,Enter your email,Введите адрес электронной почты,Elektron pochtangizni kiriting,Saisissez votre adresse e-mail,Ingresa tu correo electrónico,Inserisci la tua email
weWillSendYouACode,We’ll send you a code to reset your password,Мы отправим вам код для сброса пароля,Parolingizni tiklash uchun sizga kod yuboramiz,Nous vous enverrons un code pour réinitialiser votre mot de passe,Te enviaremos un código para restablecer tu contraseña,Ti invieremo un codice per reimpostare la password
enterCode,Enter code,Введите код,Kodni kiriting,Saisissez le code,Ingresar código,Inserisci il codice
weHaveSentYou,We have sent a code to,Мы отправили код на,Biz kodni yubordik,Nous avons envoyé un code à,Te hemos enviado un código a,Abbiamo inviato un codice a
newPassword,New password,Новый пароль,Yangi parol,Nouveau mot de passe,Nueva contraseña,Nuova password
passwordMustContain,Password must contain at least 5 letters,Пароль должен содержать не менее 5 букв,Parol kamida 5 ta harfdan iborat bo'lishi kerak,Le mot de passe doit contenir au moins 5 lettres,La contraseña debe contener al menos 5 letras,La password deve contenere almeno 5 lettere
repeatPassword,Repeat password,Повторите пароль,Parolni qayta kiriting,Répéter le mot de passe,Repetir contraseña,Ripeti password
passwordReset,Password reset,Пароль сброшен,Parol tiklandi,Réinitialisation du mot de passe,Restablecer contraseña,Reimposta password
didnotGetIt,Didn’t get it?,Не получили?,Qabul qilmadingizmi?,Vous ne l'avez pas reçu ?,¿No la recibiste?,Non l'hai ricevuta?
sendAgain,Send again,Отправить еще раз,Yana yuborish,Recommander,Enviar de nuevo,Invia di nuovo
changePassword,Change password,Изменить пароль,Parolni o'zgartirish,Modifier le mot de passe,Cambiar contraseña,Cambia password
signInNow,Sign in now,Войти сейчас,Hozir kirish,Se connecter,Iniciar sesión ahora,Accedi ora
resendCode,Resend code,Отправить код повторно,Kodni qayta yuborish,Renvoyer le code,Reenviar código,Invia di nuovo il codice
skipStep,Skip step,Пропустить шаг,Qadamni o'tkazib yuborish,Ignorer l'étape,Omitir paso,Salta il passaggio
tellUsAboutY,Tell us about yourself,Расскажите о себе,O'zingiz haqingizda gapirib bering,Parlez-nous de vous,Cuéntanos sobre ti,Parlaci di te
firstName,First name,Имя,Ism,Prénom,Nombre,Nome
lastName,Last name,Фамилия,Familiya,Nom,Apellidos,Cognome
emailAddress,Email address,Адрес электронной почты,E-pochta manzili,Adresse e-mail,Correo electrónico,Indirizzo email
tours,Tours,Туры,Ekskursiyalar,Visites,Excursiones,Tour
contact,Contact,Контакты,Aloqa,Contact,Contacto,Contatti
help,Help,Помощь,Yordam,Aide,Ayuda,Aiuto
downloads,Downloads,Загрузки,Yuklashlar,Téléchargements,Descargas,Download
logout,Logout,Выйти,Chiqish,Déconnexion,Cerrar sesión,Esci
fullName,Full Name,Полное имя,To'liq ism,Nom complet,Nombre completo,Nome completo
more,More,Больше,Ko'proq,Plus,Más,Di più
mustKnow,Must know,Должен знать,Bilish kerak,À savoir,Información importante,Da sapere
hi,Hi,Привет,Salom,Bonjour,Hola,Ciao
plans,Plans,Планы,Rejalar,Programmes,Planes,Piani
taxRefund,Tax refund,Возврат налога,Soliqni qaytarish,Remboursement d'impôt,Reembolso de impuestos,Rimborso tasse
transportationOptions,Transportation options,Варианты транспортировки,Transport imkoniyatlari,Options de transport,Opciones de transporte,Opzioni di trasporto
